Name,Pitches,StuffPlus,AVGExitVelo,xwOBA,RunValue,CS,SwStr,CSW,RV100
Tayler Saucedo,786,128.467,79.497,0.332,-0.87,17.56,12.98,30.54,-0.111
Tayler Scott,226,122.466,83.255,0.418,3.091,15.04,9.29,24.33,1.368
Taylor Clarke,1063,102.106,82.506,0.413,10.241,14.77,12.51,27.28,0.963
Taylor Hearn,288,115.465,80.122,0.429,3.941,14.24,11.46,25.7,1.368
Thomas Hatch,132,111.797,84.165,0.429,1.437,15.15,15.15,30.3,1.089
Tim Herrin,500,123.27,80.187,0.394,4.891,15.8,11.4,27.2,0.978
Tim Mayza,787,117.562,81.529,0.356,-14.959,19.31,8.89,28.2,-1.901
Tommy Kahnle,684,115.006,80.43,0.296,-6.063,17.84,15.2,33.04,-0.886
Tommy Milone,163,110.769,77.541,0.335,-1.356,15.34,6.75,22.09,-0.832
Touki Toussaint,1589,120.424,81.783,0.38,0.334,18.5,9.25,27.75,0.021
Trent Thornton,457,117.53,81.739,0.321,-4.626,19.47,9.41,28.88,-1.012
Trevor Gott,474,103.164,84.182,0.323,7.051,20.68,10.76,31.44,1.488
Trevor Kelley,272,147.785,82.179,0.38,3.279,21.32,8.82,30.14,1.206
Trevor May,776,122.968,82.659,0.345,-9.089,18.17,10.31,28.48,-1.171
Trevor Richards,1350,146.22,81.965,0.389,0.786,16.15,16.81,32.96,0.058
Trevor Stephan,1127,115.416,83.567,0.394,-3.89,12.51,14.29,26.8,-0.345
Trey Wingenter,309,120.278,85.305,0.362,0.563,12.3,13.59,25.89,0.182
