Name,PitchType,Pitches,Velo,MaxVelo,SpinRate,IVB,HB,RelHeight,Extension,StuffPlus,AVGExitVelo,xwOBA,RunValue,CS,SwStr,CSW,RV100
Gregory Soto,Sinker,414,98.088,101.7,2363.036,9.661,17.371,5.663,6.666,132.858,82.554,0.275,-6.021,21.01,8.45,29.46,-1.454
Gregory Soto,Slider,377,87.88,91.9,2398.973,3.465,-1.928,5.756,6.691,115.604,79.258,0.316,-2.796,15.65,25.2,40.85,-0.742
Gus Varland,FourSeam,202,95.628,97.5,2255.604,16.216,-10.896,5.322,6.336,126.179,83.751,0.444,-0.122,21.78,8.91,30.69,-0.06
Gus Varland,Slider,181,88.929,92.3,2087.641,-3.414,3.905,5.206,6.211,108.087,83.32,0.426,4.057,14.36,13.81,28.17,2.241
Génesis Cabrera,Curveball,79,79.049,81.4,2329.203,-8.395,-8.806,5.901,6.138,71.744,80.815,0.27,-0.227,12.66,18.99,31.65,-0.287
Génesis Cabrera,Cutter,199,89.622,92.5,2114.849,6.016,-0.602,5.767,6.286,107.433,82.938,0.41,4.364,13.07,22.61,35.68,2.193
Génesis Cabrera,FourSeam,186,95.673,98.8,2239.441,17.215,8.166,5.907,6.278,118.891,84.424,0.476,2.275,21.51,5.91,27.42,1.223
Génesis Cabrera,Sinker,53,95.138,96.7,2225.623,11.909,15.541,5.842,6.106,99.971,84.79,0.261,-0.952,16.98,1.89,18.87,-1.796
Hayden Wesneski,Changeup,72,84.542,89.9,1584.583,2.713,-14.607,5.334,6.956,100.46,80.883,0.206,-0.027,9.72,5.56,15.28,-0.038
Hayden Wesneski,Cutter,144,88.752,93.2,2462.639,3.723,5.0,5.747,6.757,145.559,79.12,0.581,2.858,19.44,8.33,27.77,1.985
Hayden Wesneski,FourSeam,431,94.273,98.7,2146.206,12.135,-6.88,5.662,6.79,91.996,86.726,0.488,7.25,15.31,6.5,21.81,1.682
Hayden Wesneski,Sinker,275,92.93,97.1,2030.225,5.969,-15.569,5.37,6.792,116.337,82.719,0.348,3.118,15.64,6.18,21.82,1.134
