Name,Pitches,StuffPlus,AVGExitVelo,xwOBA,RunValue,CS,SwStr,CSW,RV100
A.J. Minter,1048,138.405,81.091,0.378,-7.042,15.27,14.31,29.58,-0.672
A.J. Puk,945,144.287,82.304,0.372,-1.409,20.32,15.24,35.56,-0.149
AJ Smith-Shawver,454,101.845,85.379,0.32,-1.393,13.44,9.03,22.47,-0.307
Aaron Nola,3074,116.292,82.902,0.375,3.214,17.86,11.94,29.8,0.105
Abner Uribe,518,174.041,82.594,0.325,-9.325,18.92,12.16,31.08,-1.8
Adam Ottavino,1019,136.691,80.878,0.312,-11.565,20.71,9.91,30.62,-1.135
Adam Wainwright,1712,105.626,82.865,0.413,30.206,19.98,4.91,24.89,1.764
Adbert Alzolay,945,108.462,82.837,0.362,-12.414,15.87,13.65,29.52,-1.314
Adrian Houser,1847,102.574,83.45,0.357,-0.557,18.68,7.2,25.88,-0.03
Adrian Morejon,160,117.077,82.273,0.455,2.844,17.5,6.25,23.75,1.777
Alan Busenitz,107,113.711,85.978,0.443,-0.616,18.69,10.28,28.97,-0.576
Alex Cobb,2491,106.757,83.818,0.387,-7.487,19.03,8.71,27.74,-0.301
