Name,PitchType,Pitches,Velo,MaxVelo,SpinRate,IVB,HB,RelHeight,Extension,StuffPlus,AVGExitVelo,xwOBA,RunValue,CS,SwStr,CSW,RV100
Parker Mushinski,Cutter,80,89.456,91.9,2575.188,9.602,-6.708,5.648,6.71,139.787,80.522,0.317,1.391,17.5,8.75,26.25,1.739
Patrick Sandoval,Changeup,670,82.976,86.1,1780.16,10.321,14.245,6.005,6.246,107.886,79.573,0.38,-0.912,8.36,21.19,29.55,-0.136
Patrick Sandoval,Curveball,232,76.515,79.8,2721.931,-13.082,-8.501,6.156,6.198,110.638,78.9,0.27,-0.57,37.07,6.03,43.1,-0.246
Patrick Sandoval,FourSeam,665,93.027,97.1,1988.71,16.782,4.361,6.18,6.14,98.168,83.591,0.397,10.505,18.8,6.02,24.82,1.58
Patrick Sandoval,Sinker,290,93.248,97.7,1894.997,13.567,13.267,6.12,6.144,112.756,82.755,0.294,-3.133,21.38,5.52,26.9,-1.08
Patrick Sandoval,Slider,667,86.967,91.4,2463.919,3.534,-6.161,6.178,6.104,114.259,79.763,0.369,4.438,12.29,13.49,25.78,0.665
Patrick Sandoval,Sweeper,67,81.831,86.3,2664.119,-2.029,-16.764,6.115,6.158,77.322,80.154,0.328,-0.755,5.97,16.42,22.39,-1.127
Paul Blackburn,Changeup,208,86.003,92.9,1685.308,6.639,-12.322,6.001,6.387,99.749,79.076,0.387,-3.906,8.65,19.23,27.88,-1.878
Paul Blackburn,Curveball,218,79.073,82.0,2548.206,-16.114,6.691,6.022,6.274,112.973,79.313,0.33,-5.225,19.72,10.55,30.27,-2.397
Paul Blackburn,Cutter,383,88.858,92.0,2417.465,6.97,4.455,5.964,6.344,123.039,78.644,0.415,8.018,12.01,8.09,20.1,2.093
Paul Blackburn,FourSeam,272,91.922,94.6,2166.574,16.133,-5.94,5.957,6.394,87.503,86.011,0.428,2.826,21.69,5.15,26.84,1.039
Paul Blackburn,Sinker,452,91.749,94.7,2008.394,10.003,-12.824,5.937,6.392,73.125,85.004,0.348,0.982,23.45,4.65,28.1,0.217
Paul Blackburn,Slider,340,80.818,83.6,2604.859,-6.721,14.887,5.883,6.342,94.115,78.949,0.343,-2.031,5.88,17.65,23.53,-0.597
Paul Sewald,FourSeam,362,91.992,94.9,2497.099,13.873,-11.176,4.387,6.652,168.933,79.62,0.277,-5.355,20.17,15.75,35.92,-1.479
Paul Sewald,Sweeper,319,83.636,86.1,2466.367,9.499,11.143,4.473,6.569,122.503,80.44,0.301,0.446,16.93,13.17,30.1,0.14
Penn Murfee,FourSeam,75,87.788,89.7,2233.133,7.11,-3.128,4.283,6.337,95.012,79.082,0.395,-0.954,21.33,8.0,29.33,-1.272
Penn Murfee,Sweeper,129,78.954,80.8,2566.953,0.203,17.175,4.174,6.341,98.168,72.403,0.259,-4.682,16.28,16.28,32.56,-3.629
Pete Fairbanks,FourSeam,361,98.897,101.3,2453.889,19.031,-0.173,6.78,6.673,173.726,81.759,0.333,-3.4,21.05,11.08,32.13,-0.942
Pete Fairbanks,Slider,366,86.767,89.7,2511.251,-6.981,4.01,6.952,6.558,99.495,75.31,0.302,-11.784,22.68,15.03,37.71,-3.22
Peyton Battenfield,Curveball,59,79.7,81.8,2504.39,-8.02,2.793,6.806,6.234,138.221,77.167,0.324,-0.59,30.51,15.25,45.76,-1.0
Peyton Battenfield,Cutter,225,87.26,90.5,2319.547,7.495,3.012,6.735,6.281,125.717,82.842,0.404,-3.1,8.89,17.33,26.22,-1.378
Peyton Battenfield,FourSeam,245,90.821,93.3,2361.367,18.288,-2.974,6.827,6.321,114.51,89.181,0.481,6.057,16.33,6.12,22.45,2.472
Phil Maton,Curveball,418,73.762,78.6,3156.206,-10.714,18.479,5.392,7.167,186.22,73.526,0.312,0.421,12.68,19.14,31.82,0.101
Phil Maton,FourSeam,330,89.028,91.5,2564.945,9.993,4.239,5.402,7.179,167.038,78.885,0.376,3.405,13.64,13.33,26.97,1.032
Phil Maton,Sweeper,242,79.662,83.3,2684.628,2.902,18.874,5.338,7.107,98.316,79.953,0.264,-1.218,16.53,14.46,30.99,-0.503
Rafael Montero,Changeup,277,91.449,93.4,2056.661,5.768,-16.378,4.861,6.444,89.504,80.761,0.308,3.329,8.66,13.36,22.02,1.202
Rafael Montero,FourSeam,615,96.079,98.3,2352.465,15.581,-9.077,5.122,6.298,155.036,83.287,0.457,-2.403,16.26,14.63,30.89,-0.391
Rafael Montero,Sinker,184,95.465,97.5,2215.821,8.506,-16.195,5.076,6.316,135.753,77.406,0.44,3.482,10.87,10.33,21.2,1.892
Rafael Montero,Slider,175,88.313,90.9,2311.823,4.218,5.357,5.073,6.35,129.539,81.652,0.384,6.977,13.14,10.29,23.43,3.987
Randy Vásquez,Changeup,79,87.835,90.5,2013.316,4.493,-18.166,5.747,6.235,117.46,71.97,0.282,-2.183,13.92,7.59,21.51,-2.763
Randy Vásquez,Curveball,70,79.66,82.5,3062.129,-3.122,15.857,5.776,6.073,133.684,79.857,0.298,-0.607,21.43,11.43,32.86,-0.867
Randy Vásquez,Cutter,111,87.68,92.0,2683.324,4.868,3.714,5.754,6.202,122.028,87.306,0.606,1.35,18.02,9.01,27.03,1.216
Randy Vásquez,FourSeam,174,94.4,97.2,2379.931,14.71,-7.434,5.863,6.287,110.069,82.273,0.239,-2.498,20.11,6.32,26.43,-1.436
Randy Vásquez,Sinker,150,94.196,96.9,2327.0,11.695,-15.038,5.846,6.259,115.389,84.658,0.474,-1.273,20.67,3.33,24.0,-0.849
Randy Vásquez,Sweeper,85,80.898,83.0,3012.659,2.661,14.526,5.732,6.187,143.341,77.079,0.387,-0.798,9.41,8.24,17.65,-0.939
Reese Olson,Changeup,260,87.76,90.1,2086.942,0.043,-13.368,5.819,5.873,121.986,84.622,0.404,-2.549,5.0,17.31,22.31,-0.98
