Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Nelson Velazquez,KC,OF,25,28,92,14,20,6,0,2,8,1,0,8,31,0,0,1,.217,.287,.348,.635
Johan Rojas,PHI,OF,23,28,92,11,21,3,1,1,8,7,1,6,15,1,0,1,.228,.283,.315,.598
Nicky Lopez,CWS,2B,29,28,92,8,19,1,0,0,0,2,4,10,13,4,0,1,.207,.291,.217,.508
Zack Gelof,OAK,2B,24,24,92,11,18,2,1,3,7,4,1,7,33,1,0,1,.196,.260,.337,.597
Masyn Winn,STL,SS,22,30,91,10,24,4,2,0,7,5,1,11,22,2,2,0,.264,.337,.352,.689
Luis Rengifo,LAA,2B,27,28,91,14,30,6,0,2,11,9,1,6,15,1,0,1,.330,.378,.462,.840
Mike Tauchman,CHC,OF,33,30,90,19,24,7,0,3,10,1,1,18,21,0,0,2,.267,.400,.444,.844
Blake Perkins,MIL,OF,27,25,90,18,24,4,0,4,13,3,1,12,24,0,0,3,.267,.371,.444,.815
Matt Vierling,DET,OF,27,30,90,14,26,3,2,3,11,0,0,3,22,0,1,1,.289,.316,.467,.783
Alex Kirilloff,MIN,1B,26,29,90,14,22,6,3,2,10,0,0,8,22,0,2,1,.244,.307,.444,.751
Enmanuel Valdez,BOS,2B,25,28,90,8,14,4,0,2,11,0,1,4,30,1,3,0,.156,.186,.267,.453
Seth Brown,OAK,OF,31,31,89,3,16,3,0,2,6,1,1,6,32,0,0,0,.180,.232,.281,.513
Jose Siri,TB,OF,28,30,89,11,16,4,0,2,7,6,3,8,43,0,1,3,.180,.267,.292,.559
Tyler O'Neill,BOS,OF,28,25,89,21,26,3,0,9,13,1,0,15,30,0,0,2,.292,.406,.629,1.035
Isiah Kiner-Falefa,TOR,OF,29,33,89,8,22,3,1,1,6,2,0,7,17,0,0,1,.247,.309,.337,.646
Brandon Drury,LAA,2B,31,26,89,8,15,2,0,1,5,0,0,6,18,0,1,2,.169,.235,.225,.460
Andrew McCutchen,PIT,DH,37,25,88,9,16,2,0,3,7,1,0,12,31,0,0,2,.182,.294,.307,.601
Hunter Renfroe,KC,OF,32,29,88,8,14,3,0,3,13,0,0,8,19,0,0,0,.159,.229,.295,.524
Wilyer Abreu,BOS,OF,24,28,88,15,27,8,1,2,13,5,0,11,27,0,1,0,.307,.380,.489,.869
Gabriel Moreno,ARI,C,24,29,87,9,21,5,1,0,14,0,1,12,12,0,0,1,.241,.340,.322,.662
Will Brennan,CLE,OF,26,28,87,13,22,4,0,4,11,2,0,5,14,0,1,1,.253,.298,.437,.735
Curtis Mead,TB,3B,23,26,87,7,19,2,0,1,5,2,0,4,23,0,0,2,.218,.269,.276,.545
Lane Thomas,WSH,OF,28,22,87,6,16,0,0,2,10,11,1,8,20,0,1,0,.184,.250,.253,.503
Rowdy Tellez,PIT,1B,29,32,86,7,18,2,0,1,7,0,0,9,23,0,1,1,.209,.289,.267,.556
J.P. Crawford,SEA,SS,29,22,86,13,17,1,1,2,9,0,0,11,18,0,0,1,.198,.296,.302,.598
Tyler Nevin,OAK,3B,26,27,86,11,26,2,0,4,10,1,0,8,20,0,1,3,.302,.378,.465,.843
Ryan Noda,OAK,1B,28,30,86,7,11,3,0,1,2,0,0,12,32,1,0,1,.128,.242,.198,.440
James Outman,LAD,OF,26,28,85,8,14,3,0,2,8,1,1,10,30,0,0,2,.165,.268,.271,.539
Colton Cowser,BAL,OF,24,31,84,12,23,7,0,6,18,3,0,9,34,0,1,1,.274,.347,.571,.918
Cody Bellinger,CHC,OF,28,22,84,10,19,1,1,5,17,0,0,11,15,0,1,1,.226,.320,.440,.760
Rafael Devers,BOS,3B,27,23,84,11,24,7,0,3,10,0,0,16,21,0,0,2,.286,.412,.476,.888
Lawrence Butler,OAK,OF,23,32,83,6,16,4,0,2,6,2,0,12,26,0,0,0,.193,.295,.313,.608
Gavin Lux,LAD,2B,26,25,83,12,16,2,0,0,5,1,0,6,19,0,0,0,.193,.247,.217,.464
Bo Naylor,CLE,C,24,25,82,9,15,1,0,3,9,1,1,11,36,0,0,0,.183,.280,.305,.585
Jesus Sanchez,MIA,OF,26,29,82,5,19,1,0,2,13,4,0,5,19,0,1,2,.232,.289,.317,.606
Paul DeJong,CWS,SS,30,28,81,7,17,5,0,3,6,0,0,3,34,0,0,2,.210,.256,.383,.639
Masataka Yoshida,BOS,OF,30,24,80,12,22,3,0,2,11,0,0,6,11,0,0,3,.275,.348,.388,.736
Michael Taylor,PIT,OF,33,27,80,8,19,3,0,0,6,3,0,7,31,2,2,0,.238,.292,.275,.567
Patrick Bailey,SF,C,24,25,79,9,22,5,0,3,10,1,0,9,20,1,2,0,.278,.344,.456,.800
Trey Lipscomb,WSH,3B,23,24,79,14,20,1,0,1,4,5,1,7,15,0,1,2,.253,.326,.304,.630
Alec Burleson,STL,OF,25,27,78,4,19,2,0,2,10,0,0,5,16,0,0,0,.244,.289,.346,.635
Triston Casas,BOS,1B,24,22,78,12,19,3,0,6,10,0,1,12,26,0,0,0,.244,.344,.513,.857
