Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Kyle Freeland,COL,30,4,4,0,0,15.2,32,23,9,8,3,0,3,0,0,0,13.21,2.55
Shelby Miller,DET,33,13,0,0,0,15.1,10,5,14,4,2,3,3,0,2,3,2.93,0.91
Albert Suarez,BAL,34,3,3,0,0,15.1,14,4,15,3,1,1,0,0,0,0,2.35,1.11
Yuki Matsui,SD,28,16,0,0,0,15.1,9,4,11,8,0,2,0,0,0,4,2.35,1.11
Mark Leiter,CHC,33,16,0,0,0,15.1,12,1,17,7,0,1,1,0,0,7,0.59,1.24
Yariel Rodriguez,TOR,27,4,4,0,0,15.1,19,7,16,8,2,0,1,0,0,0,4.11,1.76
Bryce Elder,ATL,24,3,3,0,0,15.1,19,9,10,8,3,1,1,0,0,0,5.28,1.76
John Schreiber,KC,30,16,0,0,0,15.1,10,1,11,5,0,3,0,0,0,8,0.59,0.98
Tyler Wells,BAL,29,3,3,0,0,15.1,18,10,13,3,3,0,2,0,0,0,5.87,1.37
Jhony Brito,SD,26,11,0,0,0,15.1,17,7,7,3,1,0,2,0,3,0,4.11,1.30
Jake Bird,COL,28,14,0,0,0,15.1,16,10,9,9,1,0,1,1,1,3,5.87,1.63
Cole Sands,MIN,26,12,0,0,0,15.1,11,5,22,2,2,1,0,2,1,2,2.93,0.85
Tyler Holton,DET,27,12,0,0,0,15.0,10,8,12,3,3,2,0,0,0,2,4.80,0.87
Keegan Akin,BAL,29,15,0,0,0,15.0,11,6,19,4,1,1,0,0,0,4,3.60,1.00
Greg Weissert,BOS,29,15,0,0,0,15.0,11,2,16,3,2,1,1,0,1,1,1.20,0.93
Jeff Hoffman,PHI,31,15,0,0,0,15.0,9,2,21,5,0,2,0,2,2,4,1.20,0.93
A.J. Minter,ATL,30,17,0,0,0,15.0,9,4,17,4,3,5,2,0,2,4,2.40,0.87
Daniel Hudson,LAD,37,15,0,0,0,15.0,13,6,16,1,4,1,1,1,2,7,3.60,0.93
Dominic Leone,CWS,32,17,0,0,0,14.2,14,11,14,11,4,0,1,0,2,3,6.75,1.70
Dennis Santana,NYY,28,12,0,0,0,14.2,10,6,9,6,0,2,0,1,0,1,3.68,1.09
Jacob Webb,BAL,30,16,0,0,0,14.2,9,3,18,3,1,0,1,1,1,2,1.84,0.82
Bowden Francis,TOR,28,5,2,0,0,14.2,18,14,17,7,4,2,2,0,0,0,8.59,1.70
Simeon Woods Richardson,MIN,23,3,3,0,0,14.2,16,4,13,4,0,1,0,0,0,0,2.45,1.36
Abner Uribe,MIL,23,14,0,0,0,14.1,15,11,14,12,1,2,2,3,2,0,6.91,1.88
Mason Miller,OAK,25,12,0,0,0,14.1,7,2,29,4,0,0,0,8,0,0,1.26,0.77
Will Vest,DET,28,14,0,0,0,14.1,14,7,7,3,1,1,1,0,2,1,4.40,1.19
Tim Herrin,CLE,27,15,0,0,0,14.1,6,1,15,7,0,1,0,0,0,3,0.63,0.91
Tanner Banks,CWS,32,13,1,0,0,14.1,23,9,18,4,1,0,2,1,1,1,5.65,1.88
Adam Cimber,LAA,33,14,0,0,0,14.1,9,5,10,6,0,2,0,0,0,2,3.14,1.05
Tayler Scott,HOU,31,14,0,0,0,14.1,8,3,18,10,1,1,1,0,1,0,1.88,1.26
Wandy Peralta,SD,32,16,0,0,0,14.1,11,7,6,3,2,1,1,0,0,4,4.40,0.98
Andrew Kittredge,STL,34,14,0,0,0,14.0,10,1,15,3,0,0,0,0,1,10,0.64,0.93
Tyler Beede,CLE,30,13,0,0,0,14.0,16,13,18,9,2,1,0,0,0,2,8.36,1.79
Chris Stratton,KC,33,13,0,0,0,14.0,11,9,12,10,1,2,2,1,1,2,5.79,1.50
Chris Devenski,TB,33,9,0,0,0,14.0,19,12,11,6,5,1,1,0,2,0,7.71,1.79
Jose Cisnero,LAA,35,14,0,0,0,14.0,17,11,16,7,4,0,0,0,1,1,7.07,1.71
Griffin Jax,MIN,29,16,0,0,0,14.0,8,3,20,4,1,2,2,4,1,5,1.93,0.86
Carson Fulmer,LAA,30,6,0,0,0,14.0,11,5,13,10,1,0,1,0,0,0,3.21,1.50
Steven Wilson,CWS,29,15,0,0,0,14.0,8,5,12,9,3,1,2,0,1,4,3.21,1.21
Lucas Erceg,OAK,29,14,0,0,0,14.0,9,3,20,6,0,1,1,2,1,7,1.93,1.07
Joe Jimenez,ATL,29,14,0,0,0,14.0,10,3,14,2,0,0,0,0,0,8,1.93,0.86
Sixto Sanchez,MIA,25,9,2,0,0,14.0,20,13,9,4,2,0,1,0,1,1,8.36,1.71
Deivi Garcia,CWS,24,14,0,0,0,14.0,16,11,15,11,2,1,2,1,1,0,7.07,1.93
Enyel De Los Santos,SD,28,16,0,0,0,13.2,10,3,17,3,2,1,1,0,0,3,1.98,0.95
Dany Jimenez,OAK,30,14,0,0,0,13.2,8,6,10,11,3,1,1,0,2,2,3.95,1.39
Jason Foley,DET,28,15,0,0,0,13.2,14,4,13,7,0,2,1,9,1,1,2.63,1.54
James McArthur,KC,27,12,0,0,0,13.2,14,4,15,2,0,1,0,7,1,1,2.63,1.17
Jonathan Cannon,CWS,23,3,3,0,0,13.2,20,11,13,4,2,0,1,0,0,0,7.24,1.76
Landen Roupp,SF,25,10,0,0,0,13.2,14,8,12,8,1,0,0,0,0,0,5.27,1.61
A.J. Puk,MIA,29,4,4,0,0,13.2,19,14,12,17,1,0,4,0,0,0,9.22,2.63
Tyler Rogers,SF,33,15,0,0,0,13.2,15,4,9,0,2,0,0,0,0,6,2.63,1.10
Robert Suarez,SD,33,13,0,0,0,13.2,7,1,11,4,1,1,0,10,0,0,0.66,0.80
Evan Phillips,LAD,29,14,0,0,0,13.2,10,1,17,4,0,0,0,8,0,0,0.66,1.02
Josh Hader,HOU,30,14,0,0,0,13.2,13,9,23,7,1,1,2,3,1,0,5.93,1.46
Jose Alvarado,PHI,28,15,0,0,0,13.2,10,6,14,7,0,1,1,6,0,2,3.95,1.24
Ryan Pressly,HOU,35,15,0,0,0,13.2,18,8,21,5,1,0,1,0,2,4,5.27,1.68
Austin Voth,SEA,31,11,0,0,0,13.2,10,4,13,3,2,1,0,0,0,0,2.63,0.95
Brock Stewart,MIN,32,13,0,0,0,13.1,8,1,17,6,1,0,0,0,0,7,0.68,1.05
Hoby Milner,MIL,33,15,0,0,0,13.1,11,4,13,4,3,0,0,1,0,2,2.70,1.13
Yimi Garcia,TOR,33,13,0,0,0,13.1,4,1,16,3,1,1,0,2,0,4,0.68,0.53
Matt Barnes,WSH,33,14,0,0,0,13.1,16,10,10,4,1,0,0,0,0,0,6.75,1.50
Kyle Finnegan,WSH,32,14,0,0,0,13.1,6,3,14,6,2,1,2,10,1,0,2.03,0.90
Trent Thornton,SEA,30,14,0,0,0,13.1,9,4,11,3,0,0,1,0,0,3,2.70,0.90
Raisel Iglesias,ATL,34,14,0,0,0,13.1,11,3,9,3,0,0,0,8,2,0,2.03,1.05
Brennan Bernardino,BOS,32,11,2,0,0,13.1,5,1,12,6,0,0,1,0,0,1,0.68,0.83
Yunior Marte,PHI,29,12,0,0,0,13.1,12,4,12,5,2,0,0,0,1,2,2.70,1.28
Nick Mears,COL,27,14,0,0,0,13.1,15,9,14,10,1,0,3,0,0,3,6.08,1.88
Kody Funderburk,MIN,27,11,0,0,0,13.1,12,5,15,5,2,1,0,0,0,2,3.38,1.28
Ryan Fernandez,STL,25,10,0,0,0,13.1,10,4,17,5,1,0,1,0,0,0,2.70,1.13
Angel Zerpa,KC,24,14,0,0,0,13.1,12,3,13,3,2,0,0,0,0,3,2.03,1.13
Roansy Contreras,PIT,24,10,0,0,0,13.0,14,6,13,8,2,1,0,0,1,0,4.15,1.69
Anthony Bender,MIA,29,14,0,0,0,13.0,20,11,17,4,1,0,2,0,1,4,7.62,1.85
Tobias Myers,MIL,25,3,3,0,0,13.0,12,9,11,5,5,0,2,0,0,0,6.23,1.31
Andrew Nardi,MIA,25,16,0,0,0,13.0,18,11,19,6,1,0,0,0,3,4,7.62,1.85
Jordan Leasure,CWS,25,14,0,0,0,13.0,11,4,8,6,0,0,0,1,1,4,2.77,1.31
Tanner Scott,MIA,29,14,0,0,0,13.0,8,4,12,14,1,1,4,4,1,1,2.77,1.69
Caleb Ferguson,NYY,27,15,0,0,0,13.0,11,6,16,7,2,0,3,1,1,6,4.15,1.38
Kevin Ginkel,ARI,30,13,0,0,0,13.0,10,4,13,3,1,1,0,5,2,0,2.77,1.00
Adbert Alzolay,CHC,29,14,0,0,0,13.0,16,8,11,4,5,1,4,3,5,1,5.54,1.54
Emilio Pagan,CIN,32,14,0,0,0,13.0,17,8,15,5,3,2,2,0,0,1,5.54,1.69
Matt Strahm,PHI,32,13,0,0,0,13.0,9,2,20,1,0,2,0,0,1,3,1.38,0.77
Joe Kelly,LAD,35,14,0,0,0,13.0,13,7,13,5,0,0,0,0,1,8,4.85,1.38
Hunter Strickland,LAA,35,12,0,0,0,13.0,9,4,11,2,1,1,0,0,1,1,2.77,0.85
Luis Garcia,LAA,37,14,0,0,0,13.0,11,8,15,3,1,1,0,1,0,3,5.54,1.08
Danny Coulombe,BAL,34,16,0,0,0,13.0,6,4,16,2,2,0,0,1,1,7,2.77,0.62
Hector Neris,CHC,34,14,0,0,0,13.0,10,5,12,12,1,1,0,6,1,3,3.46,1.69
Jose Leclerc,TEX,30,12,0,0,0,13.0,10,8,13,11,1,2,2,1,1,1,5.54,1.62
Drew Smyly,CHC,34,9,0,0,0,12.2,12,7,11,5,2,2,2,0,0,0,4.97,1.34
Jordan Weems,WSH,31,15,0,0,0,12.2,11,6,13,8,1,1,0,0,2,4,4.26,1.50
Craig Kimbrel,BAL,35,15,0,0,0,12.2,10,5,21,7,1,3,1,8,3,1,3.55,1.34
Joe Mantiply,ARI,33,15,0,0,0,12.2,13,6,10,4,0,2,1,0,0,1,4.26,1.34
Yency Almonte,CHC,29,15,0,0,0,12.2,8,6,17,8,1,1,0,1,1,6,4.26,1.26
Edwin Diaz,NYM,30,12,0,0,0,12.2,6,3,19,4,2,0,1,4,0,1,2.13,0.79
Ryan Thompson,ARI,31,12,0,0,0,12.2,8,2,9,2,0,0,1,0,0,5,1.42,0.79
Mike Baumann,BAL,28,13,0,0,0,12.2,14,6,14,6,2,1,0,0,1,2,4.26,1.58
Dillon Tate,BAL,30,11,0,0,0,12.2,7,4,6,6,1,1,0,0,0,0,2.84,1.03
Phil Maton,TB,31,16,0,0,0,12.2,10,9,10,9,2,0,2,1,2,8,6.39,1.50
Matt Sauer,KC,25,10,0,0,0,12.1,15,8,5,10,1,0,0,0,0,0,5.84,2.03
Garrett Cleavinger,TB,30,13,0,0,0,12.1,8,3,19,11,0,3,0,2,0,2,2.19,1.54
Seranthony Dominguez,PHI,29,14,0,0,0,12.1,16,11,14,3,3,1,2,0,1,4,8.03,1.54
Adam Ottavino,NYM,38,12,0,0,0,12.1,6,4,21,4,1,1,1,0,1,4,2.92,0.81
Chris Martin,BOS,37,12,0,0,0,12.1,15,7,13,2,2,1,1,0,3,4,5.11,1.38
Andrew Chafin,DET,33,12,0,0,0,12.0,5,2,13,5,1,2,0,0,1,5,1.50,0.83
Nick Anderson,KC,33,13,0,0,0,12.0,13,4,6,6,1,1,1,0,0,1,3.00,1.58
Fernando Cruz,CIN,34,14,0,0,0,12.0,6,6,23,6,1,1,2,0,0,7,4.50,1.00
T.J. McFarland,OAK,34,17,0,0,0,12.0,14,5,9,2,0,1,0,0,0,5,3.75,1.33
Kirby Yates,TEX,37,11,0,0,0,12.0,3,0,14,3,0,2,0,5,0,2,0.00,0.50
Pierce Johnson,ATL,32,13,0,0,0,12.0,10,4,16,5,1,2,1,1,0,3,3.00,1.25
Genesis Cabrera,TOR,27,13,0,0,0,12.0,15,8,8,8,3,1,0,0,0,2,6.00,1.92
